-19.262, -0.189, -5.021, -210.000, -34.200, -0.929, -3.194, -230.000, 9.000
-34.200, -0.929, -3.194, -230.000, -45.801, 8.259, -4.540, -250.000, 7.232
-45.801, 8.259, -4.540, -250.000, -52.909, 17.194, -3.878, -250.000, 7.197
-52.909, 17.194, -3.878, -250.000, -58.413, 31.740, -6.674, -250.000, 6.451
-58.413, 31.740, -6.674, -250.000, -62.877, 43.517, -8.752, -230.000, 7.364
-62.877, 43.517, -8.752, -230.000, -68.948, 57.656, -9.328, -230.000, 6.711
-68.948, 57.656, -9.328, -230.000, -76.526, 67.330, -11.059, -220.000, 7.327
-76.526, 67.330, -11.059, -220.000, -83.947, 76.704, -14.216, -210.000, 6.643
-83.947, 76.704, -14.216, -210.000, -95.485, 86.294, -16.689, -200.000, 6.570
-95.485, 86.294, -16.689, -200.000, -104.207, 90.930, -18.945, -190.000, 7.242
-104.207, 90.930, -18.945, -190.000, -115.695, 96.080, -22.110, -180.000, 6.111
-115.695, 96.080, -22.110, -180.000, -127.274, 98.808, -21.724, -150.000, 6.710
-127.274, 98.808, -21.724, -150.000, -138.508, 98.731, -19.020, -140.000, 5.356
-138.508, 98.731, -19.020, -140.000, -149.622, 91.109, -18.706, -120.000, 6.410
-149.622, 91.109, -18.706, -120.000, -155.742, 83.915, -15.212, -100.000, 6.906
-155.742, 83.915, -15.212, -100.000, -160.584, 69.373, -12.822, -70.000, 6.015
-160.584, 69.373, -12.822, -70.000, -157.366, 57.491, -12.355, -70.000, 7.314
-157.366, 57.491, -12.355, -70.000, -146.785, 42.814, -10.989, -79.999, 6.648
-146.785, 42.814, -10.989, -79.999, -138.651, 24.361, -9.430, -90.000, 7.925
-138.651, 24.361, -9.430, -90.000, -136.389, 5.034, -9.380, -110.000, 8.382
-136.389, 5.034, -9.380, -110.000, -137.616, -10.143, -10.279, -110.000, 8.226
-137.616, -10.143, -10.279, -110.000, -143.316, -23.274, -11.656, -110.000, 7.292
-143.316, -23.274, -11.656, -110.000, -147.937, -37.347, -10.969, -140.000, 7.091
-147.937, -37.347, -10.969, -140.000, -152.974, -50.811, -10.722, -170.000, 7.200
-152.974, -50.811, -10.722, -170.000, -162.264, -58.850, -9.395, -210.000, 7.104
-162.264, -58.850, -9.395, -210.000, -177.508, -55.561, -10.067, -260.000, 5.443
-177.508, -55.561, -10.067, -260.000, -184.453, -48.481, -10.178, 50.000, 7.373
-184.453, -48.481, -10.178, 50.000, -181.159, -39.041, -11.726, 20.000, 4.120
