xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
-154.832,81.977,-16.86,-100,-161.072,70.959,-14.575,-70,6
-161.072,70.959,-14.575,-70,-156.033,55.696,-10.688,-70,5
-156.033,55.696,-10.688,-70,-146.227,42.31,-11.973,-79.999,7
-146.227,42.31,-11.973,-79.999,-140.303,23.68,-11.106,-90,7
-140.303,23.68,-11.106,-90,-135.659,5.813,-9.636,-110,8
-135.659,5.813,-9.636,-110,-138.372,-9.387,-10.758,-110,8
-138.372,-9.387,-10.758,-110,-143.574,-24.761,-10.587,-110,7
-143.574,-24.761,-10.587,-110,-146.61,-38.086,-10.51,-140,7
-146.610,-38.086,-10.51,-140,-152.514,-50.311,-11.75,-170,5
-152.514,-50.311,-11.75,-170,-162.284,-58.494,-11.779,-210,7
-162.284,-58.494,-11.779,-210,-177.646,-57.852,-11.007,-260,5
-177.646,-57.852,-11.007,-260,-184.058,-47.848,-12.068,50,7
-184.058,-47.848,-12.068,50,-180.387,-37.78,-11.427,20,5
-180.387,-37.78,-11.427,20,-175.361,-29.883,-14.896,0,5
-175.361,-29.883,-14.896,0,-165.429,-24.964,-15.671,-10,6
-165.429,-24.964,-15.671,-10,-145.892,-26.766,-17.426,-30,6
-145.892,-26.766,-17.426,-30,-131.382,-30.552,-16.288,-30,8
-131.382,-30.552,-16.288,-30,-120.217,-37.49,-17.025,-30,7
-120.217,-37.49,-17.025,-30,-105.578,-47.11,-15.857,-30,7
-105.578,-47.11,-15.857,-30,-90.103,-54.051,-12.477,0,8
-90.103,-54.051,-12.477,0,-78.706,-60.577,-13.83,0,7
-78.706,-60.577,-13.83,0,-64,-58.911,-14.326,0,7
-64.000,-58.911,-14.326,0,-50.914,-58.912,-14.606,-30,7
-50.914,-58.912,-14.606,-30,-33.952,-59.814,-12.165,-80,5
-33.952,-59.814,-12.165,-80,-22.867,-70.883,-13.94,-90,7
-22.867,-70.883,-13.94,-90,-22.582,-84.417,-13.335,-90,7
-22.582,-84.417,-13.335,-90,-23.543,-107.525,-12.204,-140,7
