xi yi zi yawi xi+1 yi+1 zi+1 yawi+1 vi
58 -66.915, 45.212, -21.876, 30.000, -54.799, 51.017, -20.844, 30.000, 7.000
59 -54.799, 51.017, -20.844, 30.000, -46.607, 57.832, -17.281, 10.000, 6.391
60 -46.607, 57.832, -17.281, 10.000, -33.924, 62.419, -13.037, -0.000, 7.011
61 -33.924, 62.419, -13.037, -0.000, -20.591, 65.024, -12.089, -20.000, 7.032
62 -20.591, 65.024, -12.089, -20.000, -8.347, 64.692, -9.398, -50.001, 5.540
63 -8.347, 64.692, -9.398, -50.001, 2.988, 60.455, -6.432, -60.000, 6.708
64 2.988, 60.455, -6.432, -60.000, 7.513, 53.373, -5.390, -80.000, 5.898
65 7.513, 53.373, -5.390, -80.000, 14.589, 42.969, -5.273, -90.000, 6.813
66 14.589, 42.969, -5.273, -90.000, 15.742, 34.311, -3.123, -90.000, 5.971
67 15.742, 34.311, -3.123, -90.000, 15.654, 23.730, -2.565, -100.000, 6.375
68 15.654, 23.730, -2.565, -100.000, 15.215, 15.058, -3.576, -130.000, 5.959
69 15.215, 15.058, -3.576, -130.000, 10.225, 6.061, -2.882, -160.000, 5.111
70 10.225, 6.061, -2.882, -160.000, 5.410, 1.569, -1.599, -180.000, 5.500
71 5.410, 1.569, -1.599, -180.000, 0.000, 0.000, -1.000, -180.000, 9.500
