dy, dz, xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
7,45,-99.982,-64.617,-16.557,90,-99.446,-46.545,-20.552,90,6
0,0,-99.446,-46.545,-20.552,90,-99.729,-28.353,-22.888,90,8
0,0,-99.729,-28.353,-22.888,90,-100.532,-11.11,-23.283,70,8
0,0,-100.532,-11.11,-23.283,70,-97.681,8.846,-24.469,60,8
0,0,-97.681,8.846,-24.469,60,-88.068,26.096,-24.795,40,8
0,0,-88.068,26.096,-24.795,40,-77.424,36.767,-22.341,30,8
0,0,-77.424,36.767,-22.341,30,-66.678,45.662,-22.407,30,7
-3,68,-66.678,45.662,-22.407,30,-55.974,50.263,-20.404,30,7
0,0,-55.974,50.263,-20.404,30,-44.063,57.624,-17.24,10,6
0,0,-44.063,57.624,-17.24,10,-34.288,63.251,-13.185,0,7
0,0,-34.288,63.251,-13.185,0,-19.088,65.923,-11.758,-20,6
0,0,-19.088,65.923,-11.758,-20,-8.776,66.494,-10.735,-50.001,7
0,0,-8.776,66.494,-10.735,-50.001,2.498,59.173,-6.938,-60,5
0,0,2.498,59.173,-6.938,-60,9.512,54.253,-6.431,-80,7
62,66,9.512,54.253,-6.431,-80,13.478,44.151,-3.831,-90,6
-27,69,13.478,44.151,-3.831,-90,14.229,33.319,-4.466,-90,6
2,46,14.229,33.319,-4.466,-90,15.18,24.679,-5.046,-100,6
25,44,15.18,24.679,-5.046,-100,15.166,14.379,-4.681,-130,6
10,49,15.166,14.379,-4.681,-130,11.639,6.357,-1.671,-160,6
0,0,11.639,6.357,-1.671,-160,5.641,1.023,-1.666,-180,4
23,35,5.641,1.023,-1.666,-180,0,0,-1,-180,6
