dy, dz, xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
-2,34,-68.003,55.257,-10.357,-230,-75.377,65.757,-11.968,-220,7
-8,46,-75.377,65.757,-11.968,-220,-84.357,77.541,-15.072,-210,7
0,0,-84.357,77.541,-15.072,-210,-93.919,84.564,-17.886,-200,7
-4,34,-93.919,84.564,-17.886,-200,-105.977,91.898,-20.786,-190,7
9,48,-105.977,91.898,-20.786,-190,-115.289,96.373,-19.728,-180,7
-5,66,-115.289,96.373,-19.728,-180,-126.754,96.922,-21.883,-150,6
17,44,-126.754,96.922,-21.883,-150,-138.091,97.992,-18.347,-140,5
0,0,-138.091,97.992,-18.347,-140,-149.974,92.444,-18.134,-120,7
-4,59,-149.974,92.444,-18.134,-120,-154.39,82.426,-16.619,-100,7
0,0,-154.39,82.426,-16.619,-100,-161.738,70.346,-12.937,-70,6
0,0,-161.738,70.346,-12.937,-70,-156.22,57.567,-12.157,-70,7
0,0,-156.22,57.567,-12.157,-70,-144.463,42.448,-10.903,-79.999,7
0,0,-144.463,42.448,-10.903,-79.999,-137.931,24.63,-10.139,-90,8
0,0,-137.931,24.63,-10.139,-90,-135.809,4.463,-11.852,-110,8
0,0,-135.809,4.463,-11.852,-110,-137.18,-8.188,-9.262,-110,8
0,0,-137.18,-8.188,-9.262,-110,-143.572,-23.634,-11.461,-110,7
0,0,-143.572,-23.634,-11.461,-110,-146.756,-37.878,-10.723,-140,8
-39,-62,-146.756,-37.878,-10.723,-140,-151.067,-49.227,-10.823,-170,7
27,59,-151.067,-49.227,-10.823,-170,-164.002,-58.105,-10.8,-210,7
0,0,-164.002,-58.105,-10.8,-210,-175.696,-56.905,-9.955,-260,7
-27,66,-175.696,-56.905,-9.955,-260,-183.814,-49.107,-9.64,50,5
35,64,-183.814,-49.107,-9.64,50,-180.916,-38.812,-11.186,20,5
1,6,-180.916,-38.812,-11.186,20,-174.538,-30.752,-14.136,0,5
51,33,-174.538,-30.752,-14.136,0,-163.059,-26.002,-15.51,-10,6
13,44,-163.059,-26.002,-15.51,-10,-147,-26.896,-17.232,-30,7
0,0,-147,-26.896,-17.232,-30,-131.923,-32.618,-17.665,-30,7
0,0,-131.923,-32.618,-17.665,-30,-120.756,-38.073,-16.701,-30,7
29,65,-120.756,-38.073,-16.701,-30,-106.313,-45.735,-13.758,-30,7
0,0,-106.313,-45.735,-13.758,-30,-91.333,-55.469,-12.395,0,8
0,0,-91.333,-55.469,-12.395,0,-79.598,-59.447,-13.339,0,8
24,47,-79.598,-59.447,-13.339,0,-66.145,-59.354,-12.707,0,7
0,0,-66.145,-59.354,-12.707,0,-51.714,-58.957,-13.62,-30,7
-8,64,-51.714,-58.957,-13.62,-30,-33.338,-59.56,-12.145,-80,7
0,0,-33.338,-59.56,-12.145,-80,-23.587,-69.783,-14.733,-90,8
-11,33,-23.587,-69.783,-14.733,-90,-22.537,-86.323,-13.971,-90,7
0,0,-22.537,-86.323,-13.971,-90,-23.99,-108.375,-12.892,-140,8
0,0,-23.99,-108.375,-12.892,-140,-29.354,-123.314,-14.413,-180,9
-29,51,-29.354,-123.314,-14.413,-180,-42.778,-130.177,-14.232,-180,7
0,0,-42.778,-130.177,-14.232,-180,-62.485,-129.81,-14.04,-190,7
0,0,-62.485,-129.81,-14.04,-190,-79.945,-130.764,-14.225,-240,8
0,0,-79.945,-130.764,-14.225,-240,-93.297,-121.947,-13.691,90,8
0,0,-93.297,-121.947,-13.691,90,-100.737,-107.578,-12.849,90,7
0,0,-100.737,-107.578,-12.849,90,-98.984,-90.446,-12.872,90,8
0,0,-98.984,-90.446,-12.872,90,-100.567,-77.239,-15.495,90,8
9,47,-100.567,-77.239,-15.495,90,-100.969,-62.738,-17.592,90,7
